127.0.0.1 - - [16/Mar/2017:23:37:36 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:34 +0200] "GET /elibrary/?2-8.ILinkListener-search~by~category-HISTORY HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:34 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9789
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:36 +0200] "GET /elibrary/?2-9.ILinkListener-search~by~category-RELIGION HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:36 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:37 +0200] "GET /elibrary/?2-10.ILinkListener-search~by~category-OTHER HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:37 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:38 +0200] "GET /elibrary/?2-11.ILinkListener-search~by~category-TRAVEL HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:38 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:39 +0200] "GET /elibrary/?2-12.ILinkListener-search~by~category-POETRY HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:39 +0200] "GET /elibrary/?2 HTTP/1.1" 200 10370
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:40 +0200] "GET /elibrary/?2-13.ILinkListener-search~by~category-HEALTH HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:40 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:46 +0200] "GET /elibrary/?2-14.ILinkListener-result-books-0-details HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:46 +0200] "GET /elibrary/wicket/page?3 HTTP/1.1" 200 8276
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:52 +0200] "GET /elibrary/wicket/page?3-1.ILinkListener-details-back HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:52 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:39:01 +0200] "GET /elibrary/?2-15.ILinkListener-search~by~category-PROGRAMMING HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:39:01 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9803
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:39:04 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:40:09 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:40:17 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:50:34 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.upload.UploadPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:50:34 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.upload.UploadPage?4 HTTP/1.1" 200 25167
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:50:34 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css.map HTTP/1.1" 404 1086
