127.0.0.1 - - [11/Mar/2017:19:44:42 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:45 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:46 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:46 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=1ED161DBAA33F0AA701924074FFEFB69?0 HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:46 +0200] "GET /elibrary/css/bootstrap-theme.min.css HTTP/1.1" 200 145229
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:46 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-1470924768000.js HTTP/1.1" 200 87183
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:46 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-1470924768000.js HTTP/1.1" 200 9468
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:46 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-debug-ver-1470924768000.js HTTP/1.1" 200 9018
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:46 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.resource.JQueryResourceReference/jquery/jquery-1.12.4-ver-1470924768000.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:46 +0200] "GET /elibrary/js/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [11/Mar/2017:19:46:46 +0200] "GET /elibrary/css/elibraryAdditionalStyle.css HTTP/1.1" 200 11714
