0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:29 +0300] "POST /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?5-1.IBehaviorListener.0-login-login-submit HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:29 +0300] "GET /elibrary/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:29 +0300] "GET /elibrary/?6 HTTP/1.1" 200 8703
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:34 +0300] "GET /elibrary/?6-1.ILinkListener-search~by~category-ADVENTURE HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:34 +0300] "GET /elibrary/?6 HTTP/1.1" 200 10380
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:41 +0300] "GET /elibrary/?6-2.ILinkListener-result-books-1-details HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:41 +0300] "GET /elibrary/wicket/page?7 HTTP/1.1" 200 8065
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:46 +0300] "GET /elibrary/wicket/page?7-1.ILinkListener-details-back HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:46 +0300] "GET /elibrary/?6 HTTP/1.1" 200 10380
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:54 +0300] "GET /elibrary/?6-3.ILinkListener-result-books-0-details HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:42:54 +0300] "GET /elibrary/wicket/page?8 HTTP/1.1" 200 8136
0:0:0:0:0:0:0:1 - - [24/Jun/2019:16:43:08 +0300] "POST /elibrary/wicket/page?8-1.IBehaviorListener.0-details-form~rate-submit~rate HTTP/1.1" 200 250
