127.0.0.1 - - [09/Dec/2016:16:05:24 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:05:34 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.search.SearchPage?22-6.ILinkListener-nav~bar~panel-logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:05:34 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.search.SearchPage?0 HTTP/1.1" 200 9147
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:05:37 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.search.SearchPage?0 HTTP/1.1" 200 9147
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/js/jquery-1.11.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/js/blockui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/css/elibraryAdditionalStyle.css HTTP/1.1" 200 11591
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/js/elibraryAdditionalJavaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/js/bootstrap-datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:21 +0200] "GET /elibrary/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:22 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.search.SearchPage?0 HTTP/1.1" 200 9147
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:22 +0200] "GET /elibrary/css/elibraryAdditionalStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:22 +0200] "GET /elibrary/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:22 +0200] "GET /elibrary/js/jquery-1.11.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:16:07:22 +0200] "GET /elibrary/js/blockui.js HTTP/1.1" 304 -
