127.0.0.1 - - [12/Dec/2017:22:10:38 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=4378A802251FA59ADADEABF753F15252 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?1 HTTP/1.1" 200 6634
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/css/bootstrap-theme.min.css HTTP/1.1" 200 145229
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.resource.JQueryResourceReference/jquery/jquery-1.12.4-ver-1470924768000.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-1470924768000.js HTTP/1.1" 200 9468
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-1470924768000.js HTTP/1.1" 200 87183
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/js/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/css/elibraryAdditionalStyle.css HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/js/blockui.js HTTP/1.1" 200 21608
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css HTTP/1.1" 200 21183
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/js/elibraryAdditionalJavaScript.js HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:57 +0200] "GET /elibrary/js/bootstrap-datepicker.min.js HTTP/1.1" 200 34129
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:58 +0200] "GET /elibrary/img/life_34-wallpaper-1920x10809.png HTTP/1.1" 200 1134880
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:10:58 +0200] "GET /elibrary/img/etab.png HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:11:04 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?1-1.ILinkListener-login-login-signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:11:07 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.signup.SignupPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:22:11:07 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.signup.SignupPage?2 HTTP/1.1" 200 20538
